BI,BV,AI,AV   prendi BI e BV
2.0737E-12,1.6200E+0,-1.9859E-12,000.0000E-3
2.1949E-12,1.6300E+0,-2.1058E-12,000.0000E-3
2.3211E-12,1.6400E+0,-2.2326E-12,000.0000E-3
2.4512E-12,1.6500E+0,-2.3667E-12,000.0000E-3
2.5955E-12,1.6600E+0,-2.5072E-12,000.0000E-3
2.7384E-12,1.6700E+0,-2.6541E-12,000.0000E-3
2.8940E-12,1.6800E+0,-2.8095E-12,000.0000E-3
3.0408E-12,1.6900E+0,-2.9875E-12,000.0000E-3
3.2264E-12,1.7000E+0,-3.1445E-12,000.0000E-3
3.4196E-12,1.7100E+0,-3.3313E-12,000.0000E-3
3.6117E-12,1.7200E+0,-3.5212E-12,000.0000E-3
3.8150E-12,1.7300E+0,-3.7239E-12,000.0000E-3
4.0163E-12,1.7400E+0,-3.9259E-12,000.0000E-3
4.2371E-12,1.7500E+0,-4.1458E-12,000.0000E-3
4.4719E-12,1.7600E+0,-4.3820E-12,000.0000E-3
4.7144E-12,1.7700E+0,-4.6260E-12,000.0000E-3
4.9706E-12,1.7800E+0,-4.8812E-12,000.0000E-3
5.2382E-12,1.7900E+0,-4.9082E-12,000.0000E-3
5.5208E-12,1.8000E+0,-5.2965E-12,000.0000E-3
5.8177E-12,1.8100E+0,-5.6588E-12,000.0000E-3
6.1268E-12,1.8200E+0,-6.0000E-12,000.0000E-3
6.4573E-12,1.8300E+0,-6.3427E-12,000.0000E-3
6.8023E-12,1.8400E+0,-6.6953E-12,000.0000E-3
7.1538E-12,1.8500E+0,-7.0583E-12,000.0000E-3
7.5359E-12,1.8600E+0,-7.4440E-12,000.0000E-3
7.9313E-12,1.8700E+0,-7.8385E-12,000.0000E-3
8.3428E-12,1.8800E+0,-8.2518E-12,000.0000E-3
8.7792E-12,1.8900E+0,-8.6886E-12,000.0000E-3
9.2302E-12,1.9000E+0,-9.1419E-12,000.0000E-3
9.7018E-12,1.9100E+0,-9.6122E-12,000.0000E-3
10.2004E-12,1.9200E+0,-10.1102E-12,000.0000E-3
10.7206E-12,1.9300E+0,-10.6352E-12,000.0000E-3
